time_s,250_i,500_i,750_i,1g_i,250_q,500_q,750_q,1g_q
1.600000e-07,1.668609e-04,-2.182807e-03,7.542349e-02,-3.367143e-02,5.348328e-04,-1.666553e-02,-1.588504e-01,3.982256e-02
1.602500e-07,-2.763404e-04,-1.701884e-02,-8.675708e-02,2.860706e-02,-3.318844e-04,-1.345139e-02,-9.635905e-02,2.392774e-02
1.605000e-07,-8.980805e-04,-6.542834e-03,7.515933e-02,-1.048157e-02,-4.727626e-04,6.753981e-04,-2.646111e-02,1.266808e-02
1.607500e-07,-1.792809e-03,6.472181e-03,1.079221e-02,3.721268e-02,-1.665689e-04,-7.743228e-03,-1.925865e-01,3.045678e-02
1.610000e-07,-2.780636e-03,-8.682698e-04,-6.054534e-02,1.715657e-02,8.579228e-04,-1.147999e-02,-2.928216e-02,-2.119192e-02
1.612500e-07,-2.846202e-03,-2.273436e-03,1.047968e-01,2.180414e-02,2.354725e-03,-2.008464e-03,-9.299990e-02,1.746046e-02
1.615000e-07,-1.628991e-03,2.321487e-03,-5.732743e-02,3.083248e-02,3.071001e-03,-1.117878e-04,-1.666425e-01,-3.892660e-02
1.617500e-07,-2.246304e-04,-1.927643e-03,6.773089e-03,-1.120322e-02,2.337786e-03,2.065169e-03,4.283722e-04,-8.776837e-03
1.620000e-07,3.049350e-04,1.133333e-04,7.906441e-02,2.894230e-02,9.994953e-04,5.462866e-03,-1.605259e-01,-3.735229e-02
1.622500e-07,4.410916e-05,-1.506174e-03,-8.700089e-02,-4.021090e-02,5.365877e-05,-1.485066e-03,-9.946674e-02,-3.081536e-02
1.625000e-07,-6.872459e-04,-1.413529e-02,7.118264e-02,8.270740e-03,-3.673228e-04,-9.371955e-05,-2.391749e-02,-1.091257e-02
1.627500e-07,-1.926334e-03,-1.114805e-02,1.327971e-02,-4.973578e-02,-1.912197e-04,1.070402e-02,-1.884697e-01,-3.727910e-02
1.630000e-07,-3.150174e-03,9.983448e-08,-6.274445e-02,-1.786044e-02,9.502498e-04,-2.934891e-06,-3.146573e-02,2.409525e-02
1.632500e-07,-3.161886e-03,-1.260801e-02,1.017739e-01,-3.368502e-02,2.582525e-03,-1.387178e-02,-8.773668e-02,-2.469142e-02
1.635000e-07,-1.729697e-03,-2.268847e-02,-5.491726e-02,-3.263830e-02,3.211820e-03,-1.394291e-03,-1.674165e-01,4.502836e-02
1.637500e-07,-2.223144e-04,-3.696553e-03,2.488059e-04,2.520281e-03,2.170035e-03,3.179447e-03,1.932786e-05,1.806365e-03
1.640000e-07,1.696947e-04,1.430545e-03,7.970361e-02,-2.994643e-02,5.690304e-04,-1.607651e-02,-1.561250e-01,4.225627e-02
1.642500e-07,-2.602901e-04,-1.363030e-02,-8.798504e-02,3.172017e-02,-3.207397e-04,-1.675365e-02,-1.035567e-01,2.222636e-02
1.645000e-07,-8.736684e-04,-6.805772e-03,7.076496e-02,-8.506761e-03,-4.740617e-04,-7.938782e-04,-2.265123e-02,1.227924e-02
1.647500e-07,-1.756319e-03,7.769471e-03,1.648617e-02,3.996186e-02,-1.855212e-04,-5.975192e-03,-1.941551e-01,2.737024e-02
1.650000e-07,-2.755801e-03,1.632828e-03,-6.596855e-02,1.613680e-02,8.123859e-04,-1.130069e-02,-3.427722e-02,-2.383224e-02
1.652500e-07,-2.861829e-03,-1.674616e-03,1.047963e-01,2.226928e-02,2.307552e-03,-2.305411e-03,-8.775003e-02,1.490585e-02
1.655000e-07,-1.671009e-03,2.624564e-03,-5.383876e-02,2.773479e-02,3.056570e-03,4.528738e-04,-1.724547e-01,-4.191777e-02
1.657500e-07,-2.557960e-04,-2.212764e-03,-8.093624e-05,-1.338562e-02,2.350716e-03,1.516570e-03,-7.458361e-06,-8.754246e-03
1.660000e-07,2.945889e-04,-1.154817e-03,8.320439e-02,2.524055e-02,1.011042e-03,5.748760e-03,-1.573590e-01,-3.904712e-02
1.662500e-07,4.638068e-05,-7.009197e-04,-8.805891e-02,-4.369603e-02,5.789358e-05,-1.085228e-03,-1.067130e-01,-2.791625e-02
1.665000e-07,-6.651991e-04,-1.332335e-02,6.647203e-02,6.229434e-03,-3.663861e-04,-3.058025e-03,-2.022916e-02,-9.866280e-03
