time_s,250_i,500_i,750_i,1g_i,250_q,500_q,750_q,1g_q
1.600000e-07,2.253016e-04,8.880774e-03,2.624388e-02,2.537677e-02,6.730783e-04,-1.336017e-02,-1.914083e-02,-1.096840e-01
1.602500e-07,-2.019646e-04,-3.454179e-03,-6.219414e-03,-5.976193e-02,-2.326466e-04,-1.726393e-02,-2.501865e-02,-1.395481e-02
1.605000e-07,-9.800146e-04,-1.016918e-03,2.652816e-02,2.681479e-02,-4.904009e-04,-6.797001e-04,3.815423e-03,-1.137894e-01
1.607500e-07,-1.982434e-03,4.687561e-03,1.323955e-02,-6.244640e-02,-1.431020e-04,-9.255020e-04,-2.263033e-02,-1.484983e-02
1.610000e-07,-2.599334e-03,2.154166e-04,1.201109e-02,2.749678e-02,8.609556e-04,-3.205239e-04,1.563839e-02,-1.145931e-01
1.612500e-07,-2.201827e-03,-1.256911e-03,2.005093e-02,-6.479825e-02,1.899273e-03,-6.452391e-03,-5.515952e-03,-1.568791e-02
1.615000e-07,-1.188451e-03,-1.350322e-02,-1.948649e-03,2.793400e-02,2.356353e-03,-9.125118e-03,1.643141e-02,-1.143624e-01
1.617500e-07,-1.696465e-04,-5.492518e-03,1.034956e-02,-6.667387e-02,2.251052e-03,1.055443e-03,5.715148e-03,-1.642946e-02
1.620000e-07,4.829080e-04,8.579115e-03,-1.605291e-02,2.784989e-02,1.473549e-03,-1.262593e-02,1.297496e-02,-1.120386e-01
1.622500e-07,1.602984e-04,-3.026328e-03,1.818378e-03,-6.675382e-02,1.870260e-04,-1.596795e-02,6.021770e-03,-1.673753e-02
1.625000e-07,-1.099281e-03,-7.101525e-04,-3.000994e-02,2.821677e-02,-5.587995e-04,-4.851806e-04,-2.806180e-03,-1.115735e-01
1.627500e-07,-2.260039e-03,3.552576e-03,-4.196753e-03,-6.778728e-02,-1.775099e-04,-6.639503e-04,8.066422e-03,-1.729009e-02
1.630000e-07,-2.716614e-03,-4.595943e-04,-2.331166e-02,2.786347e-02,8.807825e-04,6.690440e-04,-2.742165e-02,-1.083205e-01
1.632500e-07,-2.447266e-03,-1.200844e-03,-1.567009e-02,-6.642114e-02,2.084148e-03,-6.517022e-03,5.159272e-03,-1.722976e-02
1.635000e-07,-1.391569e-03,-1.458358e-02,2.506009e-03,2.825916e-02,2.716232e-03,-1.007274e-02,-3.656272e-02,-1.080351e-01
1.637500e-07,-1.693005e-04,-6.450685e-03,-2.037042e-02,-6.350901e-02,2.071610e-03,1.171671e-03,-9.964219e-03,-1.675041e-02
1.640000e-07,2.309856e-04,8.847810e-03,2.365314e-02,2.857092e-02,7.201849e-04,-1.274070e-02,-2.114067e-02,-1.074396e-01
1.642500e-07,-1.732623e-04,-3.099446e-03,-8.919971e-03,-6.232492e-02,-2.047572e-04,-1.731437e-02,-2.498812e-02,-1.670961e-02
1.645000e-07,-9.412333e-04,-1.181319e-03,2.596346e-02,3.010953e-02,-4.859711e-04,-8.248295e-04,1.133471e-03,-1.113986e-01
