time_s,250_i,500_i,750_i,1g_i,250_q,500_q,750_q,1g_q
1.600000e-07,2.287042e-03,1.505861e-02,1.251200e-02,-2.845330e-03,5.702064e-03,-1.186892e-02,-1.604277e-02,8.858453e-03
1.602500e-07,-1.742511e-02,1.374970e-03,1.749450e-02,-6.942387e-03,-1.784986e-02,-1.283741e-02,3.103704e-02,-2.263830e-03
1.605000e-07,-4.808482e-02,-6.226160e-04,4.743786e-02,-4.993089e-03,-2.064395e-02,-7.545264e-04,-5.629843e-03,1.508527e-02
1.607500e-07,-7.194639e-02,9.596856e-03,5.705557e-04,2.973872e-03,-9.796370e-04,8.108271e-04,-2.006642e-03,9.989482e-04
1.610000e-07,-7.505694e-02,1.035160e-02,3.732085e-02,-3.619447e-03,2.983052e-02,-8.939249e-03,2.969971e-02,1.061919e-02
1.612500e-07,-5.549777e-02,6.505331e-04,3.666886e-02,7.375018e-03,5.383683e-02,-1.049981e-02,-2.019814e-02,2.550185e-03
1.615000e-07,-2.468361e-02,-1.896876e-03,1.534719e-03,-1.572358e-03,5.699830e-02,-2.099557e-03,1.411183e-02,4.482859e-03
1.617500e-07,-6.288850e-04,6.449986e-03,5.143139e-02,8.820478e-03,3.750841e-02,2.546903e-04,1.516984e-02,3.137675e-03
1.620000e-07,2.651589e-03,1.147664e-02,1.548992e-02,3.056368e-03,6.733408e-03,-1.084562e-02,-1.907808e-02,-8.472983e-03
1.622500e-07,-1.684692e-02,2.885164e-04,1.570344e-02,4.284825e-03,-1.747647e-02,-1.691483e-02,2.918184e-02,1.567082e-03
1.625000e-07,-4.794161e-02,-4.177240e-03,4.679699e-02,6.396043e-03,-2.094109e-02,-4.226400e-03,-4.625934e-03,-1.725147e-02
1.627500e-07,-7.246955e-02,1.033255e-02,9.010960e-04,-6.881812e-03,-1.443386e-03,-5.533891e-05,-2.948286e-03,-2.586153e-03
1.630000e-07,-7.590223e-02,1.444346e-02,3.392179e-02,5.638087e-03,2.961421e-02,-1.492996e-02,2.809773e-02,-1.480380e-02
1.632500e-07,-5.621061e-02,-5.115989e-04,3.405561e-02,-1.463433e-02,5.384523e-02,-1.842009e-02,-1.789810e-02,-5.647821e-03
1.635000e-07,-2.510158e-02,-3.284790e-03,1.179930e-03,2.419839e-03,5.697657e-02,-3.038242e-03,1.326252e-02,-6.188490e-03
1.637500e-07,-8.621894e-04,1.278802e-02,4.875152e-02,-1.380065e-02,3.737573e-02,-6.422155e-04,1.542395e-02,-5.466899e-03
