carrier_hz,column,component,theory_a,measured_demod_v,fit_gain_v_per_a,gain_normalized_measured_a,abs_error_gain_normalized_a,status
250000000,17,I,-4.995000000000e-04,-2.894260507519e-02,3.973594587003e+00,-7.283733768375e-03,6.784233768375e-03,measured_from_Icar_Qcar_nodes
250000000,17,Q,4.995000000000e-04,1.375883943471e-04,-9.651625322975e-02,-1.425546369062e-03,1.925046369062e-03,measured_from_Icar_Qcar_nodes
250000000,18,I,-1.298700000000e-03,-2.875412310329e-02,3.973594587003e+00,-7.236300149325e-03,5.937600149325e-03,measured_from_Icar_Qcar_nodes
250000000,18,Q,8.991000000000e-04,8.563106713314e-05,-9.651625322975e-02,-8.872191394470e-04,1.786319139447e-03,measured_from_Icar_Qcar_nodes
250000000,19,I,-3.996000000000e-04,-2.844627829250e-02,3.973594587003e+00,-7.158827522450e-03,6.759227522450e-03,measured_from_Icar_Qcar_nodes
250000000,19,Q,1.998000000000e-04,1.548334891595e-04,-9.651625322975e-02,-1.604221920954e-03,1.804021920954e-03,measured_from_Icar_Qcar_nodes
250000000,20,I,1.998000000000e-04,-2.823871340498e-02,3.973594587003e+00,-7.106591471949e-03,7.306391471949e-03,measured_from_Icar_Qcar_nodes
250000000,20,Q,-5.994000000000e-04,2.498027285107e-04,-9.651625322975e-02,-2.588193388693e-03,1.988793388693e-03,measured_from_Icar_Qcar_nodes
250000000,21,I,-1.698300000000e-03,-2.823793876392e-02,3.973594587003e+00,-7.106396524767e-03,5.408096524767e-03,measured_from_Icar_Qcar_nodes
250000000,21,Q,-8.991000000000e-04,2.692189031440e-04,-9.651625322975e-02,-2.789363388394e-03,1.890263388394e-03,measured_from_Icar_Qcar_nodes
250000000,22,I,5.994000000000e-04,-2.862036447300e-02,3.973594587003e+00,-7.202638277847e-03,7.802038277847e-03,measured_from_Icar_Qcar_nodes
250000000,22,Q,1.998000000000e-04,1.916853683015e-04,-9.651625322975e-02,-1.986042369933e-03,2.185842369933e-03,measured_from_Icar_Qcar_nodes
250000000,23,I,9.990000000000e-04,-2.830527005550e-02,3.973594587003e+00,-7.123341205487e-03,8.122341205487e-03,measured_from_Icar_Qcar_nodes
250000000,23,Q,4.065758146821e-20,2.147462051232e-04,-9.651625322975e-02,-2.224974529544e-03,2.224974529544e-03,measured_from_Icar_Qcar_nodes
250000000,24,I,-4.065758146821e-20,-2.855050270371e-02,3.973594587003e+00,-7.185056773806e-03,7.185056773806e-03,measured_from_Icar_Qcar_nodes
250000000,24,Q,9.990000000000e-04,1.096511015506e-04,-9.651625322975e-02,-1.136089496653e-03,2.135089496653e-03,measured_from_Icar_Qcar_nodes
250000000,25,I,2.497500000000e-03,-2.923417066216e-02,3.973594587003e+00,-7.357109544535e-03,9.854609544535e-03,measured_from_Icar_Qcar_nodes
250000000,25,Q,1.498500000000e-03,1.241379759388e-04,-9.651625322975e-02,-1.286187266752e-03,2.784687266752e-03,measured_from_Icar_Qcar_nodes
250000000,26,I,8.991000000000e-04,-2.895018269002e-02,3.973594587003e+00,-7.285640760813e-03,8.184740760813e-03,measured_from_Icar_Qcar_nodes
250000000,26,Q,2.297700000000e-03,1.767565958848e-05,-9.651625322975e-02,-1.831366116793e-04,2.480836611679e-03,measured_from_Icar_Qcar_nodes
250000000,27,I,-9.990000000000e-04,-2.876703441120e-02,3.973594587003e+00,-7.239549425926e-03,6.240549425926e-03,measured_from_Icar_Qcar_nodes
250000000,27,Q,-4.065758146821e-20,1.941363410039e-04,-9.651625322975e-02,-2.011436773677e-03,2.011436773677e-03,measured_from_Icar_Qcar_nodes
250000000,28,I,7.992000000000e-04,-2.893991025446e-02,3.973594587003e+00,-7.283055586274e-03,8.082255586274e-03,measured_from_Icar_Qcar_nodes
250000000,28,Q,-1.398600000000e-03,3.240313680379e-04,-9.651625322975e-02,-3.357272554567e-03,1.958672554567e-03,measured_from_Icar_Qcar_nodes
250000000,29,I,-1.998000000000e-04,-2.834590390626e-02,3.973594587003e+00,-7.133567173403e-03,6.933767173403e-03,measured_from_Icar_Qcar_nodes
250000000,29,Q,5.994000000000e-04,1.584231549078e-04,-9.651625322975e-02,-1.641414265540e-03,2.240814265540e-03,measured_from_Icar_Qcar_nodes
250000000,30,I,5.994000000000e-04,-2.871747796375e-02,3.973594587003e+00,-7.227077985681e-03,7.826477985681e-03,measured_from_Icar_Qcar_nodes
250000000,30,Q,1.998000000000e-04,1.937473135835e-04,-9.651625322975e-02,-2.007406080324e-03,2.207206080324e-03,measured_from_Icar_Qcar_nodes
250000000,31,I,-1.698300000000e-03,-2.869840926852e-02,3.973594587003e+00,-7.222279132949e-03,5.523979132949e-03,measured_from_Icar_Qcar_nodes
250000000,31,Q,-8.991000000000e-04,2.583159946755e-04,-9.651625322975e-02,-2.676398907246e-03,1.777298907246e-03,measured_from_Icar_Qcar_nodes
250000000,32,I,1.798200000000e-03,-2.912743264092e-02,3.973594587003e+00,-7.330247714798e-03,9.128447714798e-03,measured_from_Icar_Qcar_nodes
250000000,32,Q,5.994000000000e-04,1.553917091107e-04,-9.651625322975e-02,-1.610005609530e-03,2.209405609530e-03,measured_from_Icar_Qcar_nodes
250000000,33,I,2.697300000000e-03,-2.916191048076e-02,3.973594587003e+00,-7.338924452973e-03,1.003622445297e-02,measured_from_Icar_Qcar_nodes
250000000,33,Q,-9.990000000000e-05,2.480969798494e-04,-9.651625322975e-02,-2.570520213407e-03,2.470620213407e-03,measured_from_Icar_Qcar_nodes
250000000,34,I,3.996000000000e-04,-2.891198677329e-02,3.973594587003e+00,-7.276028326557e-03,7.675628326557e-03,measured_from_Icar_Qcar_nodes
250000000,34,Q,-1.198800000000e-03,3.009880081004e-04,-9.651625322975e-02,-3.118521472067e-03,1.919721472067e-03,measured_from_Icar_Qcar_nodes
250000000,35,I,-1.898100000000e-03,-2.850257458689e-02,3.973594587003e+00,-7.172995121373e-03,5.274895121373e-03,measured_from_Icar_Qcar_nodes
250000000,35,Q,6.993000000000e-04,1.351130411064e-04,-9.651625322975e-02,-1.399899359798e-03,2.099199359798e-03,measured_from_Icar_Qcar_nodes
250000000,36,I,-3.996000000000e-04,-2.883570903752e-02,3.973594587003e+00,-7.256832172018e-03,6.857232172018e-03,measured_from_Icar_Qcar_nodes
250000000,36,Q,-7.992000000000e-04,2.620985535294e-04,-9.651625322975e-02,-2.715589807506e-03,1.916389807506e-03,measured_from_Icar_Qcar_nodes
250000000,37,I,-1.698300000000e-03,-2.871378899618e-02,3.973594587003e+00,-7.226149615287e-03,5.527849615287e-03,measured_from_Icar_Qcar_nodes
250000000,37,Q,1.098900000000e-03,9.000757934441e-05,-9.651625322975e-02,-9.325639602913e-04,2.031463960291e-03,measured_from_Icar_Qcar_nodes
250000000,38,I,9.990000000000e-05,-2.927187875280e-02,3.973594587003e+00,-7.366599211843e-03,7.466499211843e-03,measured_from_Icar_Qcar_nodes
250000000,38,Q,6.993000000000e-04,1.115333652718e-04,-9.651625322975e-02,-1.155591535513e-03,1.854891535513e-03,measured_from_Icar_Qcar_nodes
250000000,39,I,-4.995000000000e-04,-2.875068996363e-02,3.973594587003e+00,-7.235436160916e-03,6.735936160916e-03,measured_from_Icar_Qcar_nodes
250000000,39,Q,-1.498500000000e-03,3.164075750766e-04,-9.651625322975e-02,-3.278282822722e-03,1.779782822722e-03,measured_from_Icar_Qcar_nodes
250000000,40,I,1.998000000000e-04,-2.882312455897e-02,3.973594587003e+00,-7.253665145721e-03,7.453465145721e-03,measured_from_Icar_Qcar_nodes
250000000,40,Q,3.996000000000e-04,1.579570028629e-04,-9.651625322975e-02,-1.636584487868e-03,2.036184487868e-03,measured_from_Icar_Qcar_nodes
250000000,41,I,-2.097900000000e-03,-2.806636127935e-02,3.973594587003e+00,-7.063217111064e-03,4.965317111064e-03,measured_from_Icar_Qcar_nodes
250000000,41,Q,1.298700000000e-03,5.465565720757e-05,-9.651625322975e-02,-5.662844896959e-04,1.864984489696e-03,measured_from_Icar_Qcar_nodes
250000000,42,I,-1.998000000000e-04,-2.899969046241e-02,3.973594587003e+00,-7.298099951429e-03,7.098299951429e-03,measured_from_Icar_Qcar_nodes
250000000,42,Q,-3.996000000000e-04,2.093119407027e-04,-9.651625322975e-02,-2.168670391757e-03,1.769070391757e-03,measured_from_Icar_Qcar_nodes
250000000,43,I,1.998000000000e-03,-2.897115017915e-02,3.973594587003e+00,-7.290917466494e-03,9.288917466494e-03,measured_from_Icar_Qcar_nodes
250000000,43,Q,-9.990000000000e-04,3.260909610615e-04,-9.651625322975e-02,-3.378611893329e-03,2.379611893329e-03,measured_from_Icar_Qcar_nodes
250000000,44,I,-2.197800000000e-03,-2.857237763856e-02,3.973594587003e+00,-7.190561848462e-03,4.992761848462e-03,measured_from_Icar_Qcar_nodes
250000000,44,Q,1.598400000000e-03,1.524985442533e-06,-9.651625322975e-02,-1.580029675316e-05,1.614200296753e-03,measured_from_Icar_Qcar_nodes
250000000,45,I,-1.998000000000e-04,-2.906455720608e-02,3.973594587003e+00,-7.314424400804e-03,7.114624400804e-03,measured_from_Icar_Qcar_nodes
250000000,45,Q,2.597400000000e-03,-3.035564481028e-05,-9.651625322975e-02,3.145132948543e-04,2.282886705146e-03,measured_from_Icar_Qcar_nodes
250000000,46,I,8.991000000000e-04,-2.877351685154e-02,3.973594587003e+00,-7.241180805323e-03,8.140280805323e-03,measured_from_Icar_Qcar_nodes
250000000,46,Q,2.297700000000e-03,-6.460609114896e-05,-9.651625322975e-02,6.693804306221e-04,1.628319569378e-03,measured_from_Icar_Qcar_nodes
250000000,47,I,-3.996000000000e-04,-2.869391097151e-02,3.973594587003e+00,-7.221147085653e-03,6.821547085653e-03,measured_from_Icar_Qcar_nodes
250000000,47,Q,-2.797200000000e-03,4.461994253327e-04,-9.651625322975e-02,-4.623049594254e-03,1.825849594254e-03,measured_from_Icar_Qcar_nodes
