channel,own_mag_v,worst_leak_mag_v,worst_leak_run,margin_x,fourtone_mag_v,fourtone_over_single
250,0.04349130036706684,0.00438283173232333,425,9.92310520304009,0.01806018847708639,0.41525979505460375
500,0.1234233218270586,0.00812378020947772,250,15.192843558601583,0.05866793474866653,0.47533913267115224
750,0.08217614713223123,0.027768127747161787,250,2.9593693849464,0.03958637067107901,0.48172580551117605
1g,0.05588863780532879,0.006020277615625011,425,9.28339876889989,0.026211801666588323,0.469000546370252
